FK_NAME,PARENT_SCHEMA,PARENT_TABLE,PARENT_COLUMN,REF_SCHEMA,REF_TABLE,REF_COLUMN
"FK_1555_13923","dbo","AC_MONITORAR","TIPOCRACHA","dbo","PO_TIPFUN","HANDLE"
"FK_1555_13927","dbo","AC_MONITORAR","EMPRESA","dbo","ADM_EMPRESAS","HANDLE"
"FK_1592_12551","dbo","AC_MONITORARCRACHAS","MONITOR","dbo","AC_MONITORAR","HANDLE"
"FK_1393_12536","dbo","AC_MOVIMENTOSFROTA","EMPRESA","dbo","ADM_EMPRESAS","HANDLE"
"FK_1393_12539","dbo","AC_MOVIMENTOSFROTA","FUNCIONARIO","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1393_12540","dbo","AC_MOVIMENTOSFROTA","MOTIVO","dbo","AC_MOTIVOFROTA","HANDLE"
"FK_1393_12541","dbo","AC_MOVIMENTOSFROTA","CODPORTA","dbo","PO_PORTARIAS","HANDLE"
"FK_1393_12542","dbo","AC_MOVIMENTOSFROTA","PORRET","dbo","PO_PORTARIAS","HANDLE"
"FK_1393_17164","dbo","AC_MOVIMENTOSFROTA","VEICULO","dbo","AC_VEICULOSFROTA","HANDLE"
"FK_2189_18176","dbo","AC_MOVIMENTOSVISITANTE","NUMDOC","dbo","AC_VISITANTES","HANDLE"
"FK_2189_18177","dbo","AC_MOVIMENTOSVISITANTE","CODUSU","dbo","Z_GRUPOUSUARIOS","HANDLE"
"FK_2189_18179","dbo","AC_MOVIMENTOSVISITANTE","FUNCIONARIO","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_2189_18180","dbo","AC_MOVIMENTOSVISITANTE","HIERARQUIA","dbo","ADM_HIERARQUIAS","HANDLE"
"FK_2189_18185","dbo","AC_MOVIMENTOSVISITANTE","TIPOVISITA","dbo","AC_TIPOSVISITAS","HANDLE"
"FK_2189_19195","dbo","AC_MOVIMENTOSVISITANTE","PORTARIA","dbo","PO_PORTARIAS","HANDLE"
"FK_1408_10893","dbo","AC_PASTASARQUIVAREC","FUNCIONARIO","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1412_10912","dbo","AC_PASTASRECARMAZENADOS","FUNCIONARIO","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1412_10913","dbo","AC_PASTASRECARMAZENADOS","CODPASTA","dbo","AC_PASTASARQUIVAREC","HANDLE"
"FK_1412_12520","dbo","AC_PASTASRECARMAZENADOS","CODACAO","dbo","AC_ACAORECADOS","HANDLE"
"FK_1412_12521","dbo","AC_PASTASRECARMAZENADOS","EMISSOR","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1409_10898","dbo","AC_QUADROAVISOS","FUNEMISSO","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1411_10907","dbo","AC_RECADOENVIADOS","FUNCIONARIO","dbo","DO_FUNCIONARIOS","HANDLE"
