FK_NAME,PARENT_SCHEMA,PARENT_TABLE,PARENT_COLUMN,REF_SCHEMA,REF_TABLE,REF_COLUMN
"FK_4875_60703","dbo","TR_CODIGOSAJUSTEDOCFISCAL","IMPOSTO","dbo","TR_IMPOSTOS","HANDLE"
"FK_4875_87577","dbo","TR_CODIGOSAJUSTEDOCFISCAL","CODIGOOBRIGACAO","dbo","TR_CODIGOSOBRIGACOES","HANDLE"
"FK_4875_96630","dbo","TR_CODIGOSAJUSTEDOCFISCAL","IMPOSTOSUBAPURACAOICMS","dbo","TR_IMPOSTOS","HANDLE"
"FK_4348_55371","dbo","TR_CODIGOSERVICOORIGEMISENTO","CODIGOSERVICO","dbo","TR_MUNICIPIOCODIGOSSERVICO","HANDLE"
"FK_2452_26488","dbo","TR_CODIGOSICMS","EMPRESA","dbo","EMPRESAS","HANDLE"
"FK_2452_91061","dbo","TR_CODIGOSICMS","CODIGOAJUSTE","dbo","TR_CODIGOSAJUSTEVALORESDECLAR","HANDLE"
"FK_1334_111587","dbo","TR_CODIGOSSERVICO","NATUREZARENDIMENTO","dbo","REINF_NATUREZASRENDIMENTOS","HANDLE"
"FK_1334_39367","dbo","TR_CODIGOSSERVICO","CST","dbo","TR_CLASSIFICACOESTRIBUTARIAS","HANDLE"
"FK_1334_72972","dbo","TR_CODIGOSSERVICO","CARGATRIBUTARIA","dbo","TR_CARGATRIB","HANDLE"
"FK_1334_91332","dbo","TR_CODIGOSSERVICO","CLASSIFICACAOSERVICO","dbo","REINF_SERVICOSPRESTADOS","HANDLE"
"FK_7498_91145","dbo","TR_CONTROLECREDITOICMSAPURACAO","EMPRESA","dbo","EMPRESAS","HANDLE"
"FK_7498_91173","dbo","TR_CONTROLECREDITOICMSAPURACAO","FILIAL","dbo","FILIAIS","HANDLE"
